,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
5299,,2022-08-04 16:23:13,2022-08-02, TCBI,Texas Capital Bancshares Inc/tx,Stallings Robert W,Dir,P - Purchase,$52.56,"+2,775","217,940",+1%,"+$145,861",,,,
5300,,2022-08-04 16:19:11,2022-08-04, EPD,Enterprise Products Partners L.P.,Rutherford John R,Dir,P - Purchase,$25.78,"+6,500","113,941",+6%,"+$167,543",,,,
5301,,2022-08-04 16:13:22,2022-08-03, VFC,V F Corp,McMullen W Rodney,Dir,P - Purchase,$44.76,"+6,000","34,146",+21%,"+$268,572",,,,
5302,,2022-08-04 16:10:09,2022-08-02, ALDX,"Aldeyra Therapeutics, Inc.",Perceptive Advisors LLC,10%,P - Purchase,$5.59,"+412,406","10,801,985",+4%,"+$2,305,350",,,,
5303,,2022-08-04 16:02:56,2022-08-02, KFS,Kingsway Financial Services Inc,Fitzgerald John Taylor Maloney,"Pres, CEO",P - Purchase,$6.33,+328,"1,922,251",0%,"+$2,076",,,,
5304,,2022-08-04 16:01:42,2022-08-02, VNRX,Volitionrx Ltd,Innes Guy Archibald,Dir,P - Purchase,$2.00,"+312,500","2,117,887",+17%,"+$625,000",,,,
5305,,2022-08-04 16:01:12,2022-08-02, KFS,Kingsway Financial Services Inc,Hansen Kent A,"CFO, EVP",P - Purchase,$6.33,+236,"92,392",0%,"+$1,494",,,,
5306,AD,2022-08-04 15:51:48,2022-08-02, ACCD,"Accolade, Inc.",Singh Rajeev,CEO,P - Purchase,$10.09,"+17,500","766,316",+2%,"+$176,530",,,,
5307,,2022-08-04 15:25:33,2022-08-04, CRTD,"Creatd, Inc.",Frommer Jeremy,Exec COB,P - Purchase,$0.67,"+4,237","675,407",+1%,"+$2,858",,,,
5308,,2022-08-04 14:24:44,2022-08-03, REI,"Ring Energy, Inc.",Kruse William R,10%,P - Purchase,$2.66,"+400,000","13,846,948",+3%,"+$1,064,000",,,,
