,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
27,,2023-01-04 16:05:55,2023-01-03, MACK,Merrimack Pharmaceuticals Inc,Andersen Eric,See remarks,P - Purchase,$11.33,"+30,632","314,488",+11%,"+$347,159",,,,
28,,2023-01-04 16:03:12,2023-01-03, ASPU,"Aspen Group, Inc.",Kass Douglas,Dir,P - Purchase,$0.32,"+4,750","279,894",+2%,"+$1,507",,,,
29,,2023-01-04 16:00:36,2023-01-03, KFS,Kingsway Financial Services Inc,Hansen Kent A,"CFO, EVP",P - Purchase,$8.06,+186,"105,935",0%,"+$1,499",,,,
30,,2023-01-04 15:59:41,2023-01-03, KFS,Kingsway Financial Services Inc,Fitzgerald John Taylor Maloney,"Pres, CEO",P - Purchase,$8.06,+258,"1,881,374",0%,"+$2,079",,,,
31,D,2023-01-04 15:43:59,2022-12-30, GUER,"Guerrilla Rf, Inc.",Dunn James E. Jr.,Dir,P - Purchase,$1.30,"+10,000","51,912",+24%,"+$13,000",,,,
32,D,2023-01-04 15:42:41,2023-01-03, RGCO,Rgc Resources Inc,Oliver Lawrence T.,"VP, Secretary",P - Purchase,$22.25,+9,"8,843",0%,+$200,,,,
33,D,2023-01-04 15:33:25,2022-12-30, GUER,"Guerrilla Rf, Inc.",Berg John Alen,CFO,P - Purchase,$1.30,"+20,000","163,581",+14%,"+$26,000",,,,
34,,2023-01-04 14:54:32,2022-02-01, FCNCA,First Citizens Bancshares Inc /de/,Nix Craig L,CFO,P - Purchase,$777.45,+104,976,+12%,"+$80,855",,,,
35,,2023-01-04 14:30:46,2022-12-30, COLB,"Columbia Banking System, Inc.",Baruffi Kumi Yamamoto,EVP GC,P - Purchase,$26.84,+232,"23,816",+1%,"+$6,227",,,,
36,,2023-01-04 14:30:26,2022-12-30, COLB,"Columbia Banking System, Inc.",Lawson David C,EVP Chief H.R. Officer,P - Purchase,$26.84,+264,"21,212",+1%,"+$7,086",,,,
37,,2023-01-04 12:03:18,2022-12-30, TZOO,Travelzoo,Bartel Ralph,10%,P - Purchase,$4.40,"+3,410,000","7,906,603",+76%,"+$15,004,000",,,,
38,,2023-01-04 12:02:11,2022-12-30, TZOO,Travelzoo,Azzurro Capital Inc,10%,P - Purchase,$4.40,"+3,410,000","7,663,858",+80%,"+$15,004,000",,,,
39,,2023-01-04 11:30:44,2023-01-03, TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,"$2,206.85",+21,"359,957",0%,"+$46,344",,,,
40,,2023-01-04 11:09:06,2022-12-30, LIXT,"Lixte Biotechnology Holdings, Inc.",Van Der Baan Bastiaan Jeroen,Dir,P - Purchase,$4.90,"+10,000","10,000",New,"+$49,000",,,,
41,,2023-01-04 10:51:02,2023-01-03, HLBZ,"Helbiz, Inc.",Palella Salvatore,"CEO, 10%",P - Purchase,$0.13,"+650,000","11,228,925",+6%,"+$84,500",,,,
42,,2023-01-04 10:19:06,2023-01-03, CULP,Culp Inc,Bruno Thomas,"Pres, Culp Home Fashions",P - Purchase,$4.59,"+9,000","10,000",+900%,"+$41,310",,,,
43,D,2023-01-04 08:30:32,2023-01-03, COYA,"Coya Therapeutics, Inc.",Berman Howard,"CEO, 10%",P - Purchase,$0.00,"+10,000","959,338",+1%,+$0,,,,
44,D,2023-01-04 08:30:27,2023-01-03, COYA,"Coya Therapeutics, Inc.",Lee Ann,Dir,P - Purchase,$0.00,"+10,000","16,479",+154%,+$0,,,,
45,D,2023-01-04 08:30:25,2023-01-03, COYA,"Coya Therapeutics, Inc.",Hepner Adrian,Chief Medical Officer,P - Purchase,$0.00,"+10,000","10,000",New,+$0,,,,
46,D,2023-01-04 08:30:22,2023-01-03, COYA,"Coya Therapeutics, Inc.",Garren Hideki,Dir,P - Purchase,$0.00,"+2,000","2,000",New,+$0,,,,
47,D,2023-01-04 08:30:19,2023-01-03, COYA,"Coya Therapeutics, Inc.",Snyder David S,CFO,P - Purchase,$0.00,"+7,000","7,000",New,+$0,,,,
48,D,2023-01-04 08:30:17,2023-01-03, COYA,"Coya Therapeutics, Inc.",Goldstein Dov A Md,Dir,P - Purchase,$0.00,"+10,000","10,000",New,+$0,,,,
49,D,2023-01-04 08:30:17,2023-01-03, COYA,"Coya Therapeutics, Inc.",Villalobos Anabella,Dir,P - Purchase,$0.00,"+10,000","10,000",New,+$0,,,,
50,,2023-01-04 07:30:33,2023-01-03, AIM,Aim Immunotech Inc.,Appelrouth Stewart,Dir,P - Purchase,$0.31,"+80,646","217,063",+59%,"+$25,000",,,,
51,,2023-01-04 07:30:31,2023-01-03, AIM,Aim Immunotech Inc.,Equels Thomas K,"CEO, Pres",P - Purchase,$0.31,"+161,291","543,995",+42%,"+$50,000",,,,
52,,2023-01-04 07:30:31,2023-01-03, AIM,Aim Immunotech Inc.,Rodino Peter W III,"COO, Secretary, Gen. Counsel",P - Purchase,$0.31,"+80,646","143,839",+128%,"+$25,000",,,,
53,M,2023-01-04 07:29:00,2022-12-30, MAIA,"Maia Biotechnology, Inc.",Vitoc Vlad,"CEO, 10%",P - Purchase,$3.62,"+2,734","1,001,855",0%,"+$9,894",,,,
